year,status,no_of_inhalant_abusers_arrested
2003,Total,149
2004,Total,184
2005,Total,120
2006,Total,403
2007,Total,644
2008,Total,602
2009,Total,600
2010,Total,499
2011,Total,159
2012,Total,123
2013,Total,135
2014,Total,118
2015,Total,100
2016,Total,91
2017,Total,37
2018,Total,34
2019,Total,23
2020,Total,31
2021,Total,25
2003,New,118
2004,New,115
2005,New,77
2006,New,288
2007,New,429
2008,New,396
2009,New,398
2010,New,339
2011,New,73
2012,New,53
2013,New,61
2014,New,48
2015,New,39
2016,New,32
2017,New,9
2018,New,8
2019,New,5
2020,New,8
2021,New,6
2003,Repeat,31
2004,Repeat,69
2005,Repeat,43
2006,Repeat,115
2007,Repeat,215
2008,Repeat,206
2009,Repeat,202
2010,Repeat,160
2011,Repeat,86
2012,Repeat,70
2013,Repeat,74
2014,Repeat,70
2015,Repeat,61
2016,Repeat,59
2017,Repeat,28
2018,Repeat,26
2019,Repeat,18
2020,Repeat,23
2021,Repeat,19
